"","cityname","empl_city_current","empl_city_diff_1mo","empl_city_diff_12mo","uerate_city_current","uerate_city_diff_1mo","uerate_city_diff_12mo"
"1","Buellton",2703.27840831886,-0.016904382803823,0.000137354741143847,0.0153322320599945,0.0010429861178557,0.000704167357954
"2","Carpinteria",7243.0658352803,-0.00468574770577157,0.0292917475278016,0.0433593561946472,0.0023759284967895,0.00255573289375199
"3","Goleta",16932.0812971438,-0.00502349174741656,0.0191423900087726,0.0268883388972078,0.0019594722647561,0.0029006566912597
"4","Guadalupe",3119.05239239378,-0.0079233264252534,0.0339629192288511,0.0381430420255267,0.0029070064064711,0.0017878608269452
"5","Lompoc",16751.8407889878,-0.00487516720863468,0.0192223494378025,0.0558214795292213,0.0016693439900239,0.0025791958949863
"6","Santa Barbara",49828.7984684323,-0.004705944522432,0.0195908470755424,0.0263488250464729,0.001328782683869,0.0004523522092803
"7","Santa Maria",46516.8199252673,-0.00368721565204877,0.0185122098186408,0.0667967066672115,0.0015908592171227,0.000451621917276404
"8","Solvang",2997.50084172724,-0.00466403819076011,0.0370107561053006,0.0270198020339831,0.0017214206534592,0.000581993435701502
"9","Isla Vista",11821.8662125369,-0.00723585375220348,0.0185190945494129,0.0934605358910824,0.0033988177334529,0.0033246814494913
"10","Los Alamos",NA,NA,NA,0.0583336216720946,0.0023274886385907,0.0015872459870243
"11","Mission Canyon",NA,NA,NA,0.0412301210069294,0.0016854468266986,0.0021512929672906
"12","Mission Hills",1889.35759402833,-0.00365258168396343,0.00224270119656733,0.0615052497314749,0.002007669679904,0.0023343207235121
"13","Montecito",3226.53448481787,-0.00182245447586171,0.00174926605273606,0.054695845989769,0.00198104630142311,0.0021544831058707
"14","Orcutt",14198.8109720675,-0.00156106632082753,0.0233216539985275,0.0426260571638416,0.0024492749992006,0.00158535228727359
"15","Santa Ynez",2121.48110999629,-0.00645953506911068,-0.000551388313366319,0.0633590978138667,0.0028278143647367,0.0021239220494934
"16","Summerland",NA,NA,NA,0.0278670482951094,0.001513808229022,0.0010446754298153
"17","Toro Canyon",NA,NA,NA,0.0300807233660562,0.0013934564870211,0.0011427956974761
"18","Vandenberg AFB",NA,NA,NA,0.051870718910808,0.0018444029421295,0.0013040305768446
"19","Vandenberg Village",3312.06792224186,-0.00829932175654591,0.0345145384128467,0.0373068048792593,0.0013177308604356,0.0010019504253165
