"","industrylist_short.i.","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",1169428.47255357,0.00188035510432782,0.0291353902507574,""
"2","Total Nonfarm",1163961.22448735,0.00186464989938018,0.0294491477601357,""
"3","Educational and Health Services",177322.61441397,0.00467416799401521,0.0194843506353923,"0.151817962117505"
"4","Financial Activities",38364.9501367192,0.00391269586511389,0.0214593405679275,"0.0328468456533062"
"5","Goods Producing",229267.157072589,0.00277601886364875,0.0263168460904257,"0.196291221411702"
"6","Government",103093.491844105,0.0066230934888627,0.0675532344240684,"0.0882653568529642"
"7","Information",101118.659026234,0.00162126618472325,0.073488113719969,"0.0865745680332596"
"8","Leisure and Hospitality",106096.587938705,0.00406825637914743,0.0241665463149787,"0.0908365118668466"
"9","Other Services",28911.4257270099,-0.00440964111198083,0.0219254931956767,"0.0247530398211885"
"10","Professional and Business Services",244161.555224949,-0.00803966420774949,0.0268856642178705,"0.20904332966327"
"11","Retail Trade",86880.2876107899,0.00185031328077478,0.00820012310291074,"0.0743841289327037"
"12","Total Farm",5586.69887705055,0.0132180882315367,-0.0260576265075838,"0.00478315324461598"
"13","Transportation, Warehousing and Utilitie",15173.1873025961,0.000312559891131547,-0.0737915189391605,"0.0129907986227269"
"14","Wholesale Trade",32018.3436610805,0.00336066051291617,0.0160726154300717,"0.0274130837799119"
