"","industrylist_short.i.","employment_ind_currrent_NSA","employment_ind_MoM_NSA","employment_ind_YoY_NSA","emp_pcttot_NSA","employment_industry_current","employment_industry_MoM","employment_industry_YoY","employment_pcttot"
"1","Total, All Industries",319100,-0.0154273372415921,0.0421293272370999,"",323043.498758361,0.000481655290176741,0.0423127069273546,""
"2","Total Nonfarm",294500,-0.00506756756756754,0.0458096590909092,"",298917.325443718,0.00337339651133406,0.046216480590185,""
"3","Educational and Health Services",49100,-0.0100806451612904,0.0402542372881356,"0.15387026010655",50092.1947526888,-0.00269172743349211,0.0401342243162071,"0.15482952394844"
"4","Financial Activities",16100,0.0387096774193549,0.0320512820512822,"0.0504544030084613",16075.3599010023,0.0294407017131944,0.031387152069654,"0.0496871884544135"
"5","Goods Producing",44600,0.0159453302961277,0.0348027842227379,"0.139768097774992",44329.1311704402,0.00759718826587163,0.0353166375998879,"0.137016521437181"
"6","Government",42600,-0.0616740088105727,0.0544554455445545,"0.133500470072078",45880.9532327024,0.0165265348443742,0.0504705482947856,"0.141813034593352"
"7","Information",3800,0.027027027027027,0.0555555555555556,"0.0119084926355374",3844.7844765366,0.0245379455329815,0.0588337455370365,"0.0118838105043214"
"8","Leisure and Hospitality",33000,0.021671826625387,0.141868512110727,"0.103415857098088",32194.6054081202,0.00295777055598356,0.139464480963511,"0.0995100225425752"
"9","Other Services",8400,0.0120481927710843,0.024390243902439,"0.0263240363522407",8496.77444755461,0.0166347010331018,0.0252575416683964,"0.0262626053681055"
"10","Professional and Business Services",43500,0.00230414746543772,0.0406698564593302,"0.136320902538389",43582.6545185805,-0.00128865717701021,0.0417780318455117,"0.134709243322962"
"11","Retail Trade",34600,-0.00574712643678166,0.0146627565982405,"0.10842995926042",35474.6377891848,-0.0123221440124838,0.0156965207054436,"0.109648245764836"
"12","Total Farm",24600,-0.124555160142349,0,"0.0770918207458477",24781.683137416,-0.0118856287836996,0.000632051449962923,"0.0765974863299686"
"13","Transportation, Warehousing and Utilitie",6200,0,0.0333333333333334,"0.0194296458790348",6253.05373823835,-9.08705407363097e-05,0.0332306239831062,"0.0193275087724818"
"14","Wholesale Trade",12600,-0.0232558139534884,-0.00787401574803148,"0.039486054528361",12525.4518702234,-0.0278159684106668,-0.00657745899121565,"0.038714808961364"
