"","V1","V2","V3","V4","V5","V6","V7","V8"
"lf_table",219200,224000,222500,225000,218762,222017,219691,224321
"empl_table",207400,217600,216300,218500,207029,216997,214967,217962
"unemp_table",11800,6300,6200,6600,11792,5952,5991,6560
"uerate_SB_table",0.054,0.028,0.028,0.029,0.054,0.027,0.027,0.029
"uerate_CA_table",0.072,0.04,0.039,0.041,0.068,0.036,0.035,0.038
"uerate_US_table",0.053,0.038,0.038,0.038,0.052,0.036,0.035,0.037
